time,r,r_dot,theta,theta_dot,is_private
0.000000000000000000e+00,1.053307056427001953e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.283185958862304688e+00,0.000000000000000000e+00
9.999999776482582092e-03,1.053303837776184082e+00,-6.075492128729820251e-04,6.283185631036758423e-02,6.283184051513671875e+00,0.000000000000000000e+00
1.999999955296516418e-02,1.053294897079467773e+00,-1.208551693707704544e-03,1.256636679172515869e-01,6.283178329467773438e+00,0.000000000000000000e+00
2.999999932944774628e-02,1.053279876708984375e+00,-1.796424854546785355e-03,1.884954124689102173e-01,6.283169746398925781e+00,0.000000000000000000e+00
3.999999910593032837e-02,1.053258895874023438e+00,-2.364690182730555534e-03,2.513270974159240723e-01,6.283158779144287109e+00,0.000000000000000000e+00
4.999999701976776123e-02,1.053232312202453613e+00,-2.907134126871824265e-03,3.141586780548095703e-01,6.283147811889648438e+00,0.000000000000000000e+00
5.999999865889549255e-02,1.053200483322143555e+00,-3.418035572394728661e-03,3.769901394844055176e-01,6.283137798309326172e+00,0.000000000000000000e+00
7.000000029802322388e-02,1.053163528442382812e+00,-3.892167704179883003e-03,4.398216605186462402e-01,6.283129692077636719e+00,0.000000000000000000e+00
7.999999821186065674e-02,1.053121924400329590e+00,-4.324796609580516815e-03,5.026531219482421875e-01,6.283127784729003906e+00,0.000000000000000000e+00
8.999999612569808960e-02,1.053076267242431641e+00,-4.711681976914405823e-03,5.654847025871276855e-01,6.283133983612060547e+00,0.000000000000000000e+00
9.999999403953552246e-02,1.053029179573059082e+00,-5.049093626439571381e-03,6.283153295516967773e-01,6.283151626586914062e+00,0.000000000000000000e+00
1.099999994039535522e-01,1.052977323532104492e+00,-5.334159359335899353e-03,6.911470293998718262e-01,6.283181667327880859e+00,0.000000000000000000e+00
1.199999973177909851e-01,1.052922606468200684e+00,-5.564671475440263748e-03,7.539789676666259766e-01,6.283228397369384766e+00,0.000000000000000000e+00
1.299999952316284180e-01,1.052866101264953613e+00,-5.739088170230388641e-03,8.168115019798278809e-01,6.283293724060058594e+00,0.000000000000000000e+00
1.400000005960464478e-01,1.052807807922363281e+00,-5.856642033904790878e-03,8.796448111534118652e-01,6.283381938934326172e+00,0.000000000000000000e+00
1.499999910593032837e-01,1.052748799324035645e+00,-5.917335860431194305e-03,9.424790143966674805e-01,6.283493995666503906e+00,0.000000000000000000e+00
1.599999964237213135e-01,1.052689194679260254e+00,-5.921949166804552078e-03,1.005314469337463379e+00,6.283634662628173828e+00,0.000000000000000000e+00
1.700000017881393433e-01,1.052629828453063965e+00,-5.872029811143875122e-03,1.068151593208312988e+00,6.283803939819335938e+00,0.000000000000000000e+00
1.799999922513961792e-01,1.052571058273315430e+00,-5.769901908934116364e-03,1.130990505218505859e+00,6.284004688262939453e+00,0.000000000000000000e+00
1.899999976158142090e-01,1.052515625953674316e+00,-5.618635565042495728e-03,1.193832635879516602e+00,6.284244060516357422e+00,0.000000000000000000e+00
1.999999880790710449e-01,1.052460432052612305e+00,-5.421549547463655472e-03,1.256676197052001953e+00,6.284514427185058594e+00,0.000000000000000000e+00
2.099999934434890747e-01,1.052407383918762207e+00,-5.182832945138216019e-03,1.319522857666015625e+00,6.284820556640625000e+00,0.000000000000000000e+00
2.199999988079071045e-01,1.052356839179992676e+00,-4.907180555164813995e-03,1.382372617721557617e+00,6.285163402557373047e+00,0.000000000000000000e+00
2.299999892711639404e-01,1.052309393882751465e+00,-4.599526524543762207e-03,1.445225834846496582e+00,6.285541534423828125e+00,0.000000000000000000e+00
2.399999946355819702e-01,1.052265167236328125e+00,-4.265049006789922714e-03,1.508083224296569824e+00,6.285956382751464844e+00,0.000000000000000000e+00
2.500000000000000000e-01,1.052224397659301758e+00,-3.909165039658546448e-03,1.570944547653198242e+00,6.286405086517333984e+00,0.000000000000000000e+00
2.599999904632568359e-01,1.052187323570251465e+00,-3.537536598742008209e-03,1.633810520172119141e+00,6.286887168884277344e+00,0.000000000000000000e+00
2.699999809265136719e-01,1.052154421806335449e+00,-3.156063845381140709e-03,1.696681141853332520e+00,6.287399768829345703e+00,0.000000000000000000e+00
2.800000011920928955e-01,1.052123665809631348e+00,-2.770687453448772430e-03,1.759560465812683105e+00,6.287951946258544922e+00,0.000000000000000000e+00
